category,return_10yr_pct,change_2024_pct,change_2025_pct,trend,notes
Rare whisky,280,-9,,boom_then_correction,Лучший класс десятилетия; обогнал S&P 500; спекулятивный откат в 2024
Fine wine,146,-9.1,,correction,Сильный долгосрок; коррекция 2024 после бума 2020-2022
Luxury watches,138,,12.1,divergence,Индекс Patek Philippe +12.1% в 2025; обогнал Rolex; флайт к голубым фишкам
Art (Impressionist),,,13.6,recovery,Лучшая категория 2025; продажа Климта за $236.4 млн
Luxury handbags,85,2.8,,stable,Самый стабильный класс; лучший результат среди коллекционных в 2024
Classic cars,,,-3.7,cooling,Halo-модели (Ferrari F50) держатся; средний сегмент проседает
Coloured diamonds,,,,stable,Исторически в топ-5 по доходности (Knight Frank)
Coins,,,,stable,Исторически в топ-4 по доходности (Knight Frank)
Jewellery,,,,stable,Исторически 2-е место по доходности (Knight Frank)
KFLII overall index,,,-0.4,stabilisation,Общий индекс люкс-инвестиций 2025; стабилизация после коррекции
