market,value_2025,value_unit,forecast_value,forecast_year,cagr_pct,source
Experiential luxury (global),245.8,USD bn,598.4,2034,10.4,Dataintelo
Experiential luxury (alt estimate),315.4,USD bn,627.9,2033,8.1,MarketIntelo
Classic / collector cars,40.8,USD bn,94.13,2035,8.7,Market Research Future
Classic cars (alt estimate),39.7,USD bn,77.8,2032,8.7,Credence Research
Collectible cars (total park value),800,USD bn,,,,McKinsey
DIY craft kits,5.1,USD bn,9.3,2033,9.0,RealTimeDataStats
Yacht market,11.5,USD bn,18.5,2033,5.5,Grand View / GMInsights (midpoint)
Wearables (wellness/biohacking),87,USD bn,96,2026,,Industry (2026 outlook)
Personal luxury goods,,EUR bn,582,2035,5.0,Bain (4-6% CAGR midpoint)
Russia luxury goods market,2.6,USD bn,3.0,2030,2.9,Luxurious Magazine
Experiential luxury - Asia Pacific,,,,,13.1,Dataintelo (fastest region)
Experiential luxury - Europe,,,,,9.8,Dataintelo
